file,parse_ok,ver_sw,sys_name,hw,sys_autostart,mav_type,ekf2_en,n_topics,has_position,src_position,has_attitude,src_attitude,has_status,src_status,has_imu,src_imu,has_actuator,src_actuator,has_att_sp,src_att_sp,has_rates_sp,src_rates_sp,has_battery,src_battery,has_ekf_ratios,src_ekf_ratios,has_ekf_innov,src_ekf_innov,has_land_det,src_land_det,rate_vehicle_local_position,rate_ok_vehicle_local_position,rate_vehicle_attitude,rate_ok_vehicle_attitude,duration_s,duration_ok,dropout_frac,dropout_ok,airborne_src,airborne_s,airborne_ok,n_errors,topics_ok,rates_ok,SURVIVES,log_id,db_duration_s,db_mav_type,db_date
a87b85d6-d24b-41d4-b546-e758f4714857.ulg,True,402784511,PX4,PX4_FMU_V4,4001,2,,33,False,,False,,True,vehicle_status,True,sensor_combined,True,actuator_outputs,False,,False,,False,,False,,False,,True,vehicle_land_detected,0.0,False,0.0,False,97.0,True,0.0006,True,land_detected,0.0,False,191,False,False,False,a87b85d6-d24b-41d4-b546-e758f4714857,97,Quadrotor,2024-04-02
0b9d71df-51aa-415d-87fb-26d7f13152bf.ulg,True,17694720,PX4,HKUST_NXT_DUAL,4050,2,,38,False,,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,False,,True,vehicle_rates_setpoint,True,battery_status,False,,False,,True,vehicle_land_detected,0.0,False,196.4,True,117.3,True,0.207,False,land_detected,0.0,False,0,False,False,False,0b9d71df-51aa-415d-87fb-26d7f13152bf,117,Quadrotor,2026-07-09
79eb82a3-0fdc-47b2-9f40-c36c3ee9ec3c.ulg,True,17695488,PX4,HKUST_NXT_DUAL,4001,2,,54,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,20.0,True,62.1,True,0.0,True,land_detected,58.2,True,0,True,True,True,79eb82a3-0fdc-47b2-9f40-c36c3ee9ec3c,62,Quadrotor,2025-06-09
2a5bf0a4-97b6-427a-9bdc-f4a45ac52795.ulg,True,17826048,PX4,CUAV_X7PRO,4001,2,1,74,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,False,,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,136.0,True,114.0,True,0.0025,True,land_detected,105.3,True,0,False,True,False,2a5bf0a4-97b6-427a-9bdc-f4a45ac52795,114,Quadrotor,2026-06-08
f4e05405-ad43-4260-b608-c5cf71c48127.ulg,True,17760768,PX4,CUAV_X7PRO,4001,2,1,75,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,9.9,True,19.8,True,1234.2,True,0.0106,False,land_detected,1229.3,True,0,True,True,False,f4e05405-ad43-4260-b608-c5cf71c48127,1234,Quadrotor,2025-08-20
bf2ca24f-d02c-4cb4-b40d-48316e780042.ulg,True,17498304,PX4,PX4_FMU_V5,4014,2,,49,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_outputs,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,20.0,True,80.8,True,0.0008,True,land_detected,75.3,True,0,True,True,True,bf2ca24f-d02c-4cb4-b40d-48316e780042,80,Quadrotor,2020-08-01
23e5f9b2-0b7e-4238-bcf2-e141a2fc2d49.ulg,True,17564416,PX4,PX4_FMU_V6X,4001,2,,75,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_outputs,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,20.0,True,928.1,True,0.0,True,land_detected,669.6,True,0,True,True,True,23e5f9b2-0b7e-4238-bcf2-e141a2fc2d49,928,Quadrotor,2024-07-24
a586f5da-c6a0-4fa3-8bdd-05d23ff312e2.ulg,True,17171712,PX4,PX4FMU_V2,4011,2,,28,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_outputs,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_status(legacy),True,estimator_status,True,vehicle_land_detected,9.5,True,30.8,True,536.0,True,0.024,False,land_detected,533.1,True,0,True,True,False,a586f5da-c6a0-4fa3-8bdd-05d23ff312e2,535,Quadrotor,2017-07-19
c07d42af-a8c0-49ce-bc06-27ffc62f5e98.ulg,True,17760511,PX4,PX4_FMU_V6X,4001,2,1,68,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,False,,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,20.0,True,63.6,True,0.0,True,land_detected,59.4,True,0,False,True,False,c07d42af-a8c0-49ce-bc06-27ffc62f5e98,63,Quadrotor,2026-01-16
27fbc1b8-b15f-4406-98a6-ca6dd5578620.ulg,True,17694975,PX4,MICOAIR_H743,4001,2,,63,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,9.8,True,243.4,True,91.1,True,0.0266,False,land_detected,85.4,True,0,True,True,False,27fbc1b8-b15f-4406-98a6-ca6dd5578620,91,Quadrotor,2024-12-25
