log_id,ver_sw,band,n_varying
93841e38-8351-48d0-94f9-748c6edd9855,17694720,v1.16,9
c68bd3b5-cb7e-485d-9d26-7c2e16d484c9,17694975,v1.16,3
7d4ab026-2e9a-43f1-845f-05e642ffe387,17695743,v1.16,7
96aa83eb-f56d-4853-9294-0e87fdd7fb73,17498304,v1.14-1.15,14
54577a62-464c-4d75-8762-c9e344c12649,17760256,v1.17+,8
36976783-3e25-45ce-aba8-317ac4a1806f,17629952,v1.16,7
e79d696c-1524-4186-be5d-d2e4f12f21df,17694720,v1.16,6
a7fc7d0e-6fd6-4f53-9f20-03fc536d1b3b,17564416,v1.14-1.15,6
925aa4bc-1523-4384-a71d-0c903e5ec6c5,17826047,v1.17+,13
ed1189de-a40d-4fcc-aeee-553416bf1171,17761280,v1.17+,11
54115867-8062-49e1-bd3f-dff35169c927,17760256,v1.17+,18
60b51de8-37fc-45fc-b77b-ad10603fd2b7,17694720,v1.16,11
eaf476d7-9d33-417c-a4de-fd381fc4140b,255,,14
c227211d-ede7-475a-a774-3833870af97b,17695744,v1.16,7
424f30e6-52dc-46e3-9e8c-e2b337b175f1,17956928,v1.17+,13
46a6c23c-69eb-435c-960f-622c72545b30,17629952,v1.16,5
d3843174-4d8b-49fb-900d-e171259b6ce4,17695743,v1.16,7
57a6a106-341f-43c6-a33f-e456d9b134d2,17564416,v1.14-1.15,6
7f415da7-1b9e-4a40-a1cb-80c61222b69b,17629952,v1.16,4
ae11a05f-e573-4b08-a51b-39745135b7c2,17761535,v1.17+,14
637ff79d-55fd-41a0-a81d-eda466518dec,17760256,v1.17+,4
844c137e-35ff-45dc-ada0-5a25be1584a9,17695488,v1.16,6
eb8b24af-0197-4dd1-9f05-f59740ea1255,17891392,v1.17+,14
09f53c9f-b72a-4af6-b03b-c8cf841378e3,17630207,v1.16,6
93d1e2d2-19e6-49f5-9ac8-ffcbfd8b7579,17760256,v1.17+,17
9e5a3eff-eb37-4f14-ad54-f39d2193af5c,17630207,v1.16,4
933ccf58-b3fb-40a3-8a9b-7ad1651fdb3d,17761792,v1.17+,14
6cafe028-1c25-49bd-89b5-04498f23ad41,17629951,v1.16,5
6184d635-c9f3-4d4a-8f2f-3749a35178d1,17760512,v1.17+,14
99e79ed6-298b-44e2-adc1-95ed922344ef,17694720,v1.16,2
7cc6a6fe-780f-4812-87c5-c85fb5a50670,17825984,v1.17+,13
706b60fb-e599-4120-bf4c-caa21a698e10,17695999,v1.16,2
6af08195-98c0-4808-8888-2370c532873a,17761535,v1.17+,17
233be913-5a47-46fd-b8ba-c90b5e2d2e49,17891392,v1.17+,14
04c329b4-3412-451e-94c2-70194bee51ff,17891583,v1.17+,14
96c58077-827f-4bca-adc2-6966e5970068,16788224,,13
be672383-2fbd-4a49-ad79-a5effbc75bb9,17891392,v1.17+,21
14e487a5-6303-4fe1-a08e-6d5a0fc4e723,17695488,v1.16,5
2aadd318-ff2b-44b6-bd23-3bd27f875e0a,17761535,v1.17+,14
e06fe64b-de12-4a78-baba-9b0f391553d4,16777280,,21
24ea2be8-e986-49d1-91cc-5269a99012da,17695743,v1.16,7
3b3bdd0f-295b-4798-bf27-0f62e9525f3b,17630207,v1.16,6
d5830c60-9265-444f-91bc-c7d8ee96d38f,17564671,v1.14-1.15,6
68aef073-ea26-4f68-8b2b-07d7bc1cad99,17564671,v1.14-1.15,3
dae01ed7-4287-480d-bc58-95f0513e20be,17564416,v1.14-1.15,5
35c8a1a9-8a99-40af-adb5-2733d521478f,17825856,v1.17+,14
3617a21b-0699-4c16-9ac4-e5e3e9a53086,17695743,v1.16,9
76102960-4ebd-406d-8b32-8f1f351fdfed,17564416,v1.14-1.15,6
a7244953-3ded-4477-bb40-9023cb894e18,17760384,v1.17+,15
3ab8b911-bb32-4dd3-b4a4-1c480cfbb5fc,17761535,v1.17+,11
7ea36a4b-232b-46f0-b13d-9d4880d881de,17564416,v1.14-1.15,6
65f62f61-f14f-40c1-b7bd-b8e2b6633e9b,17826303,v1.17+,14
155cf391-a2a0-45cb-993c-59a591fe0106,34420736,v1.17+,7
e32b12a3-a56e-4ff7-ade3-d418bf6f50d6,17629952,v1.16,6
a850fd31-d046-486a-aab1-20822a54cb52,17761280,v1.17+,12
7f12d1f8-6edf-43b6-bc49-3ebbc1c9f5bf,17761535,v1.17+,11
5e537e76-b503-4647-b8a7-6b8c055f4122,17499135,v1.14-1.15,11
1340ff5b-b2b6-46f9-853a-4861abc67c94,17761280,v1.17+,14
1ee2533e-b698-49f5-8508-429deb10c944,17564416,v1.14-1.15,3
b9285689-2dfc-4aac-bd1e-311be75710d2,17630207,v1.16,6
4889c148-6a5f-4549-854e-9babeb60ab4c,17761023,v1.17+,11
c4b86fe6-6bf7-42a5-a59b-ecb5241bec41,17695488,v1.16,3
4366d759-4330-4222-a405-cd2922ed6a41,17760256,v1.17+,17
769b4b55-474d-4a77-aba9-a9c3a92c5751,17760511,v1.17+,14
28d2f4b1-d674-48af-9af4-6646f24ca332,17564416,v1.14-1.15,9
0f067e35-bea0-4aaf-abe7-75f1fd6026c2,17564416,v1.14-1.15,6
13a7e014-e63a-4f0e-a292-1b6f9ae47a91,17760256,v1.17+,14
5c581409-4afc-42d4-8877-05f7ef959fb4,17694720,v1.16,8
4e0a306f-71e0-4dac-a693-f5d5cdf4db4e,17695743,v1.16,5
bfd019b1-30d3-469b-950d-8777c73227e1,17826047,v1.17+,14
34d5fd72-cb64-4cf2-b591-daa81f64f71f,17761535,v1.17+,8
4ebef28e-97eb-4340-a1c2-1920b0ffab93,17694848,v1.16,12
82d8628c-10d7-47aa-abc2-d04dc119f7a7,17630207,v1.16,6
290762f8-631b-497b-bdd9-dd53b30e8773,17761535,v1.17+,11
8b11cf01-488a-449f-932e-d91ae996c489,17695488,v1.16,5
4aca839f-09f6-4ad2-bd61-658dbef420c2,17564928,v1.14-1.15,7
